,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,030,031,032,033,034,035,036,037,038,039,040,041,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,098,099,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202
G1,140.2476661,138.0658109,135.5499467,126.8844096,129.1493462,135.9870924,128.8559029,114.1012194,140.3704892,138.4253377,141.0846352,140.7429112,143.4113557,147.3903748,147.3688836,134.0987106,131.522066,143.6265039,127.4125395,140.7591379,130.4390161,123.4881882,120.4232305,122.2304172,141.4673469,137.93241,137.1747441,139.1593243,135.9438995,133.7171429,136.9276227,131.7226639,130.4927845,138.131929,138.0299139,116.4737763,140.5649352,136.2747543,137.3712656,125.040478,136.4958454,138.144855,140.2906601,142.6699546,134.3205,131.9123487,138.460296,141.500065,141.6193297,143.6231086,142.4542245,141.9678575,148.0403219,134.2979877,143.6623778,149.4190378,143.2466213,114.7334961,131.4323871,130.3212589,136.4766038,152.4086185,141.0810761,142.2965348,144.7717635,137.6510915,120.8795291,133.421842,139.0540087,130.9436777,133.4653285,140.4027926,135.4896956,147.018697,129.4786705,129.1246448,148.3096141,134.7485038,125.8366405,136.6258629,147.4091242,147.3416363,126.8039701,158.0804769,119.6282427,139.7806172,146.1909713,129.3015505,136.3596092,145.4189813,139.0597307,144.8205248,142.3712622,139.0087114,132.9589326,131.2646249,132.3529362,151.8122466,139.0766105,128.1071664,154.8730674,136.5008561,140.2360656,133.06736,135.6708499,141.9877234,147.8196505,135.30563,145.8110126,139.9333635,129.1980142,144.8024967,140.832393,126.3833105,136.8944458,134.302251,144.7951643,136.1556659,133.1422462,143.7577402,137.6928634,124.3385476,139.1459028,141.6565809,145.1899231,126.397985,126.5508948,137.0991252,126.3882586,131.6502281,119.1703011,144.548356,131.9266675,146.8890201,132.1450185,142.3343788,134.6368979,145.3194181,125.0529337,126.1250466,135.7692491,113.7520774,138.2750387,136.7297786,137.1922536,141.8405788,115.5599652,132.0881463,138.3029815,133.8869166,138.5136416,144.5051899,123.7835418,137.2960066,119.8496865,136.8868766,128.0287277,130.7778415,135.6699623,144.5492773,153.2597329,138.368201,147.1828326,145.3922923,128.1179307,136.1483389,140.0099021,133.2889706,133.0767291,148.0695788,132.2398547,144.8824107,145.4750741,131.8479718,123.7738332,129.6712098,143.2528817,130.6576881,133.0561806,136.6502029,144.0114503,137.8064049,144.3220506,145.863757,139.7311828,140.7016967,153.2690856,129.3653078,133.9560496,135.2390215,130.885874,137.110952,132.1298923,137.0334103,150.2588732,139.9970729,131.8460021,136.4715689,142.5831816,143.826371,131.2178578,145.5183014
G2,135.7907531,125.3632581,140.7201263,139.9769349,140.0911737,137.6336106,131.7243512,134.3910161,129.9280368,129.3004616,138.1544443,133.814704,135.0478706,131.0504792,136.3424842,134.9876215,130.5149589,138.7671285,131.1898933,126.1113155,129.1559296,138.7699351,129.3598295,131.8047069,137.182674,134.8728858,136.1438784,130.5951713,129.5520084,138.2913148,129.7240791,135.670351,135.0811631,134.2777289,138.77302,136.7945451,142.1784066,135.8344076,134.4952173,130.3245119,138.4947557,141.5198389,133.4689855,135.5919063,132.3030502,128.17572,133.6063821,137.1967557,136.7030865,128.6508798,136.9580422,141.485833,141.7275885,131.9430511,144.1446103,134.6547818,130.8634184,131.7420019,131.3193778,138.6668254,122.8181277,140.7195662,138.349949,136.8005726,135.531631,137.9675204,134.3539963,134.9581422,131.6049563,134.5525732,132.7495126,137.2282788,132.9798664,134.7042197,130.2552463,133.715188,138.353599,146.978545,121.8918889,131.0834274,137.8167648,138.4170064,120.9206212,131.7466203,125.3866998,132.6790184,134.3298019,133.1687106,129.1227681,132.033199,138.4799595,128.1753818,132.9450964,130.2860619,130.1341685,131.1308346,135.3704558,131.0170139,142.1104794,133.6501761,137.1323366,129.3935726,126.8629538,131.3720569,131.3741356,134.994293,136.6629403,133.5519678,139.8204179,129.9106112,131.2838787,138.1396601,136.9248654,128.7436465,134.3173145,141.2025792,129.3557049,133.6205203,124.9438882,129.6334062,133.5272214,132.704514,138.0663503,133.0144147,132.5685031,123.1943191,137.1234125,135.0538408,130.7204307,134.6033822,132.0741985,135.7529414,136.8031886,122.0564798,141.0509491,133.0495044,134.1074408,135.0892656,135.613311,124.4768,134.6334601,131.1994175,130.5456649,134.9951061,127.4844833,125.3770657,131.8725406,137.4060211,132.3689969,134.343919,136.7875983,134.5126582,139.2408964,132.7145863,138.0747617,128.8686799,132.0346403,135.1695799,134.5675022,137.7410324,138.0892082,136.4362879,136.842065,143.4347315,136.3676684,131.211456,136.2763911,132.1729602,141.3928359,139.9621268,145.445529,129.1437298,143.7929007,135.6779396,132.3574547,135.4916856,129.3980682,139.4089096,135.8445338,133.3503597,134.6296999,129.2034475,140.1018865,136.2665044,130.9586571,135.4987537,133.8804346,138.7398419,128.7662706,136.7321384,128.7449726,140.1182915,139.4959884,138.7765206,139.9262734,134.8445193,133.7997436,125.6737002,134.6006006,137.2010144,140.1421082,134.3470653
G3,167.1949217,158.6515398,178.7226962,175.1365726,174.0905955,175.0371036,168.6602806,174.9886889,164.0581942,163.209913,177.8107337,163.9018355,164.8253034,161.1472368,167.2115971,171.7201553,168.0563656,173.5284882,169.5251013,162.6786912,171.676864,176.8799149,167.9223811,160.8036293,169.507662,166.5109549,174.339762,160.1043896,164.8259553,173.1095473,165.6393829,173.2553206,172.9996156,167.8792289,173.8049965,179.1518217,174.3035707,168.7485284,165.7758815,169.7036459,171.7704834,178.3058446,168.6242389,167.2357515,173.9339009,165.945363,166.8524362,171.862063,168.320592,162.3309768,171.1481711,174.5748672,174.2845173,173.1969146,175.2984084,168.9352471,161.6431871,176.1104077,166.6780516,179.9217882,156.4926737,170.8731215,170.566977,172.2782887,167.7516409,170.3266446,166.8093893,170.9250666,167.2732638,170.6893056,166.0982443,173.7391648,167.9855666,165.2433726,168.4667423,168.0253728,169.1789347,175.5641793,157.4264433,163.5070367,167.9352351,175.024729,157.3549779,157.9873289,165.6220064,171.0034869,168.7522752,168.8475455,165.3207888,165.9462723,171.754215,158.5823406,165.4217639,165.3994552,163.4217461,167.8145051,171.9890775,162.6109305,176.7919513,176.0164203,168.9492613,169.8276585,165.4600696,163.7536381,166.6595075,171.8087332,168.7277243,169.9350544,173.9499518,160.4307503,170.7412024,168.920867,173.0498301,160.591758,170.4068657,175.3965452,161.6487588,169.6861329,161.8468755,163.3496258,176.4524523,172.9290267,167.6779659,169.8758706,163.4686933,159.8500688,177.8155579,169.1524242,168.0794864,173.9146869,171.110842,177.4967647,172.0451635,151.6537534,178.2687225,176.9554106,169.1935932,169.836573,177.1501518,160.5548736,166.9730824,170.0371354,158.3740796,173.3781321,162.2988096,157.4354336,174.6202984,175.7377825,167.5397074,167.1131864,168.9056405,161.6980392,178.568154,166.2045072,178.8895636,165.5455966,166.6916334,171.7344024,168.9877152,175.8322843,169.8632069,169.7134122,167.5218606,175.9407791,169.0550039,162.2925459,169.3210421,168.4965515,174.5832131,170.0806155,177.0998082,161.6248417,172.66032,177.8789036,165.7177808,171.3942145,162.8934175,176.9422799,171.899257,167.6585651,170.8192116,165.1495332,174.1595721,170.047855,163.3483514,170.819009,165.309813,170.1498336,164.1925764,174.6139593,168.973064,171.9822862,173.7968456,172.8194645,171.7089519,167.5377261,160.5535584,162.0243202,169.3988153,169.7971059,169.9957782,167.6212596
G4,105.6807395,105.0304305,111.3884366,108.3160002,120.1743801,107.6747455,101.7462559,106.4042856,107.1320923,112.6218582,102.9545604,109.2386445,105.536372,106.8772275,108.8307683,101.2570766,103.4114983,110.432141,99.8546945,97.91547941,91.70893503,103.2633287,100.8501046,112.2141012,107.4360393,110.9535423,104.4137595,107.9474423,97.42384145,109.526727,92.08677728,104.4867908,105.9378131,106.1451422,109.6107151,102.5203238,112.6362676,107.3074361,110.6144207,101.9482706,98.1514525,110.8404167,109.3748389,109.9417321,83.59625964,94.49811956,109.2913082,109.5645895,116.6418208,101.3494196,106.1424112,111.2352158,112.2964207,98.44657438,111.1020191,108.6225515,112.4247576,95.94069052,103.3664798,99.03607074,102.9612352,112.8049108,102.7745304,102.6123901,106.4949645,108.0815602,109.1932096,107.7068142,106.8284725,102.759088,110.5725591,104.2240822,100.7945421,107.5191085,92.20528817,103.5551889,110.3133147,110.3937133,98.37294358,103.919036,104.8111649,103.0179831,97.56344711,106.63432,91.20823207,97.73941885,103.7956832,103.7152216,97.92439187,104.8968609,104.4295036,109.7568679,102.6629949,103.2476259,106.3735493,104.6196075,97.71468018,101.2066945,113.1947121,91.22086102,103.060865,97.35822027,98.3863213,100.7744735,103.797014,97.30081202,108.6617799,107.2488384,101.1452899,107.6292138,99.08147897,107.4010211,102.9742209,107.1389234,100.2176326,103.9995703,109.8958668,110.7722547,94.40275927,109.483108,86.53821431,95.23724062,109.7999154,99.32074898,104.2632876,98.37038062,104.7964298,112.0124133,94.63362123,106.580681,100.2538864,94.50379631,102.2394858,104.3357884,108.1188751,92.5474966,105.4536531,93.40819101,95.045045,101.1811413,112.7515672,97.76654435,112.2019355,101.8493555,103.8864134,101.2392842,99.05560379,102.162716,103.8935637,109.3270255,111.1998216,110.5073937,104.1130474,104.8248144,98.66064984,103.2257512,98.21869456,106.196423,103.8923434,99.28564828,94.8357515,107.4306189,101.819549,111.7588473,103.5369087,106.8074843,108.1832523,101.9651511,109.3301809,112.723108,104.7654231,105.4208436,112.7157996,93.6214847,106.9930375,107.068959,102.7634927,104.2069996,107.8878985,95.92906073,108.2575631,103.1820327,103.8664684,113.0231204,109.120615,99.43491233,109.6314691,103.5399498,101.4673731,110.9737698,96.23993759,112.1419646,106.105795,113.7013581,114.4664057,99.25090938,113.5514838,99.23540942,107.0545947,108.0662728,106.7519197,97.38534235
G5,94.04448557,95.98434277,88.83898217,97.1607815,91.19348942,83.81666405,96.06042385,92.5978827,91.47636851,94.29757205,87.48496449,102.4313509,95.13777896,106.4300368,88.32741792,96.94279504,93.09111519,107.6379956,95.15789509,102.9645087,89.20693485,90.08861079,88.37906062,108.9073415,96.88409844,93.731397,94.50631978,106.7685545,88.90985755,92.77266914,69.73116838,86.87540439,94.21518331,86.68774536,90.68573362,93.57633437,99.00691493,94.01096677,89.21182505,93.23051938,82.1853344,70.92768976,81.78376743,78.35044461,76.32656939,82.87498365,110.2762697,99.05602653,106.4486081,102.0759438,97.4881597,104.6809041,80.89626199,81.1610565,73.90079588,88.55807663,105.7185729,87.72239104,82.35959324,87.3075455,102.5363437,109.6214682,99.43205503,85.65127641,96.18556661,111.4216425,91.21887524,83.99099404,97.28402365,85.18941381,88.57065142,91.00541258,82.7639775,102.234479,81.82913225,100.579765,98.56088957,71.29888405,100.2878117,99.58064063,94.55376798,80.01059257,106.5764458,101.0851463,78.41938082,77.60914334,96.54774843,93.47523278,99.12511358,82.6986498,80.77198447,113.1117349,92.0589029,87.93618027,95.41470207,94.98832987,97.23692203,105.1045302,79.22804026,81.02737339,96.70061093,82.39765041,88.35848877,90.68090251,103.425364,81.23589917,98.49028661,92.81940212,75.52145062,115.4268742,84.73639105,97.49253766,81.43133011,99.7413373,80.19880019,76.31774184,104.7967622,101.6992263,88.44459792,94.99702443,78.37281091,64.501577,97.23024264,73.41500005,87.347619,111.1160252,75.40056993,96.91819402,70.93080646,82.15137558,95.58337117,94.39870535,82.67204785,103.437982,84.18465055,72.42394633,88.30617063,91.04001772,74.16124329,85.34927479,115.7693276,75.63541755,110.8767637,85.05931129,97.38223473,100.1755108,78.04401757,87.00469671,86.58454195,107.1642711,106.3338359,103.3924978,79.71922233,101.888658,81.60978653,102.5187923,78.39013369,95.01858854,105.0544736,84.8596524,81.0062076,85.53601166,81.28526713,94.29738666,75.49083056,115.9940158,96.5535523,86.80806972,82.25892374,98.95247333,70.87477398,108.9033609,83.5504653,83.74081195,100.3560262,96.40435273,76.63090632,87.22226284,85.08590423,72.66838905,86.63353934,93.59500966,86.67999327,100.3075355,108.9139994,85.58357795,111.4634221,103.8783127,82.39422043,96.06823178,91.39112452,100.6196553,93.11544934,86.59186969,84.41508891,89.80511715,112.6477884,91.32452191,95.41997106,89.49520443,82.87498365,80.99569075
G6,25.61400189,26.11932465,23.38712547,36.92983403,30.05524713,28.2080349,25.4594422,26.71945371,26.95533549,24.87457042,21.42268022,29.55510105,27.52522574,30.42879724,28.45568383,30.29408212,25.14187594,28.12893318,31.385415,25.63145989,26.26408082,32.33735863,28.930053,26.2679205,29.54417394,29.46813745,30.85828131,30.6342144,29.90394731,25.04889559,26.11627331,30.17254004,26.63887296,29.67023827,30.73410331,30.08219486,28.34955143,34.15773706,26.56747866,29.2117011,31.40318245,28.24509923,28.64697503,30.19396231,28.2581628,28.69134563,25.25873964,31.61628839,30.21905171,28.74472065,27.94178183,29.31894708,29.95390804,29.08339581,27.09646916,28.5918076,25.80500484,30.75375082,27.79020678,27.01901089,28.4646647,29.50618652,27.5652789,31.46101557,32.12000438,27.36742707,30.75005164,29.66463439,30.35431018,23.19795286,27.9884257,26.97002207,36.78984619,28.53183838,27.45569245,26.62516495,26.84905742,29.54576481,33.98936331,32.61835022,31.21706351,30.40034586,31.94633638,28.39272403,25.02304005,26.15081495,30.6904592,29.6861437,30.35561366,31.05986662,32.55306782,26.54485731,27.61810106,31.98351107,30.02216204,25.63016603,24.77500398,22.38125582,26.9336287,24.07228115,27.93446853,29.03485782,25.50071913,31.94962995,25.99483344,27.41516885,27.60784574,29.13583493,27.89439576,30.89860324,28.89659159,28.84141444,24.38712042,31.29441056,29.58761574,25.98816931,31.79742407,24.84382786,26.55159281,28.21981988,26.28417877,23.47152431,25.56238807,26.56665759,27.14021124,26.13345023,27.46650828,29.14517275,27.52059133,26.87611364,28.32538374,28.36203502,29.72612303,32.83089695,28.20084014,27.85924394,28.79223076,27.67700264,27.94781311,28.87033906,24.45095414,31.24944866,30.80880154,29.55867145,32.20419874,29.01157108,30.64792434,28.533712,27.25726887,30.24554167,27.90432634,28.64379388,27.05667168,33.59060597,31.51175768,28.64056827,32.04052811,30.66339672,29.62644582,29.81273062,31.51681346,30.15002893,32.25986653,28.24257307,28.64121685,34.36547254,29.74280146,28.59140835,30.75186401,31.27688783,29.5325458,28.48433255,29.26728766,29.96823258,27.75696976,32.12262001,31.33872985,31.4312234,30.774216,32.06374976,27.72667165,26.24437469,27.40959737,26.70303826,27.70977364,28.34884999,27.35659009,30.26624936,27.46841545,27.62258516,28.90605239,25.8450585,27.953691,25.92547861,29.97174281,30.5737555,33.51444284,31.14332421,30.32596202,28.14997775,29.68334303,28.79811506
G7,37.02788561,44.31315117,40.66023696,45.74115663,38.37582151,40.739526,37.50312605,39.00651837,40.64085838,35.87872948,39.13958618,39.85442824,40.42826605,42.8544287,36.10871569,38.55287774,34.96094974,35.05742071,44.97205622,39.64968109,37.60179474,41.11625361,42.26686156,38.33633927,38.40374632,41.46396842,41.21539185,43.73694753,41.16703848,41.54818428,38.3181755,35.3908876,36.07793482,37.15654274,35.84547777,40.04113778,37.63034048,39.24098041,38.81852061,38.70053942,38.11086133,36.75912121,40.32242299,39.2091783,35.92123778,44.05442035,36.43867663,35.96328417,41.02253814,41.79503805,38.43480222,38.02620792,38.00433494,41.81151147,39.63907587,39.74733141,42.33118899,39.93709234,41.16260829,39.3447553,41.95049602,41.05010959,36.59286871,39.14328553,46.40176796,37.73119382,45.36768559,35.07815943,46.60467019,38.15458867,41.36382959,38.33726937,43.0103143,42.07717316,37.18384962,45.54602259,39.66588888,37.77460375,44.90493178,39.82855712,46.22187642,33.41898254,39.17228408,43.63759434,34.75328118,37.72346134,45.15719759,36.85353487,38.15988423,40.69814043,38.44156876,38.9738334,45.14839938,38.14012874,41.88138663,39.29900703,36.83678144,38.18442479,32.49992766,36.6035844,39.301381,35.52037844,40.74452964,39.30829274,35.78655352,39.60885329,40.10229119,44.6857216,35.02726246,35.64657226,39.44068538,37.09723152,43.00476277,43.00957658,36.72555446,39.01730416,39.84195468,37.89121875,41.57039523,39.41444841,38.14988565,33.60848528,32.62197162,37.88762356,40.48486772,41.64280908,34.79792824,37.41583508,44.6437171,38.73859291,36.48357399,41.27104285,42.58014865,44.65962122,39.08377291,32.39259688,42.26631021,38.11008472,40.97811312,39.7355073,41.54336536,41.18027586,41.01908964,43.68406865,39.93922786,42.28193815,41.21399351,36.55907717,31.26408386,38.48797839,41.61488133,40.11676259,42.9609566,47.53906709,37.8100336,40.42538593,42.75704477,39.65846377,39.71208547,41.21251695,45.54328989,36.86809168,50.24928049,39.11267241,43.73264237,38.02494926,44.39520255,40.01029146,39.7718194,39.63784123,39.13886118,38.03397898,46.79826486,39.99056973,39.5613668,38.83203774,41.27023676,46.11508685,41.42162329,43.10889538,42.90490146,37.00458404,40.25535184,43.70315811,35.71206552,43.70973358,41.69675643,39.77130179,41.31484263,37.39207629,42.78280782,35.73885334,41.22952281,37.62427013,40.70412561,38.68299162,41.64436463,40.42612149,40.0163424,40.19228253,36.50179162,38.96858332
G8,28.14091016,36.99393157,30.22802517,27.53563471,29.10009979,28.28715388,32.57952004,34.62196257,34.30354692,34.94344619,29.39694598,29.98735366,28.6468392,29.42096612,26.79445845,29.43923583,33.51611754,26.64893396,33.66737323,35.14874698,32.83786408,28.85830176,35.81707731,32.61951704,28.10748906,30.01623604,29.66859647,31.89230637,31.04179339,30.05470029,31.72084573,29.14643236,30.86485221,30.03442573,27.22601283,32.09195425,25.80058255,28.39093948,30.59379112,34.14097528,24.44077929,26.16116922,31.11649637,27.57837333,28.91174131,34.23953069,30.97882517,27.3382863,29.74116634,32.13685788,26.9911076,25.33127594,25.15062797,31.33303792,24.41713598,29.16706125,33.27457003,33.61410832,32.73522627,29.05447655,35.63172734,23.93215584,25.92414669,26.58300814,28.30694349,28.26488757,32.39283365,29.38440668,33.40983793,31.27032707,32.95339099,28.84211453,29.79489501,29.45415363,31.46475637,32.35068257,27.0187629,22.42291187,36.43953831,29.74109127,27.38754326,24.72812548,37.06805963,29.00177534,34.44323287,30.89697887,29.18605601,29.42514647,30.89649485,29.56939596,25.96538714,32.40634141,31.13147664,31.46191222,32.86402701,33.51169882,29.61740531,31.61832168,24.70673936,32.25564173,26.03214228,31.22862927,35.25579279,29.8461615,31.78519338,27.29823663,27.41818179,31.29406941,24.70821376,30.08480726,33.05189591,26.38488457,30.08103663,32.76268132,29.7161593,26.33292329,30.59364317,32.55339565,35.19232629,33.09439993,29.45186077,32.92214011,26.96006439,29.80977403,29.51659685,38.49104356,29.31514488,29.09909567,33.75277199,31.32803673,32.03499565,28.34689536,29.21787176,34.8578515,26.77798233,28.28420369,29.66802795,28.51539697,31.47728753,36.13160959,32.36322319,33.03485116,31.3470036,29.96183872,33.33293043,33.34097401,33.26552829,28.41386544,28.98765864,29.43216275,29.1427653,28.70571537,29.38535964,29.74972975,27.62004468,33.90711402,31.07101571,30.18263216,29.47278497,26.76471023,24.35910721,27.43540003,26.85579796,24.34995267,27.88973475,29.15199877,29.17911553,30.93215468,25.72707706,24.14289581,22.85942647,31.65745383,24.93473248,28.92026886,31.56944431,28.02619291,31.22171234,28.13676264,29.17792053,28.90355584,30.91152111,33.62619744,25.89764899,29.11587711,30.43843291,28.42571401,29.4364182,26.14183663,33.64170687,30.07161138,34.11111383,26.30705856,26.27546092,28.21665355,25.44312819,27.63098375,29.06810137,34.34541462,28.94899523,27.53034002,25.80981281,28.48342033
G9,177.5676944,7.748477369,,162.20897,,7.528022044,,,3.339173417,,42.34260932,10.9125385,,9.761774775,,,,,146.4934545,,159.9405755,3.17983012,,,,,,,1.851226967,,125.1341931,,1.631672421,,133.9141813,163.7590094,50.51692539,38.80164865,,,14.54821487,,,137.0004623,175.7339558,13.67655965,,,,176.3942101,,8.516322371,140.469095,154.9675806,,,,151.22784,6.684592999,,,,168.5856504,,2.929217869,,,,,,,,,,,,,164.670181,,,,,154.393847,,,,,0.865584487,169.1943459,,,3.791121415,,163.764963,5.379860073,,,,,,,,,175.8504897,,,,,179.8259184,171.0964183,,5.384725248,,,,,,,,,32.17590955,,,,7.042143982,,14.48293745,,,,,2.424811137,,,8.991376969,,,1.293482284,,8.18841692,,,,,169.8213136,166.0184778,,,,11.45709741,,,,,4.061430187,17.96097812,1.335468382,9.74954423,,,,,,,,,,149.1950252,160.6496503,18.94960766,,6.571378068,,,,145.8290684,,,,,,,,9.332553115,,,,166.9693746,172.7274975,,,,,,,,17.76456465,158.6975501,164.8250831,,,
K1,T,T,D,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,D,D,T,T,T,T,T,T,T,T,T,D,T,T,D,D,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,D,D,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,D,D,T,T,T,T,T,D,T,T,T,T,T,T,T,T,D,D,T,T,D,T,T,T,T,D,T,T,T,T,T,T,T,D,T,D,T,T,T,T,D,T,T,T,D,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,D,D,T,T,T,D,T,T,T,D,T,T,T,T,D,T,T,T,T,T,D,T,D,T,T
